Month,Date,Amount,Description,Status
1,2025-05-31,"3,000,000.0",Monthly Payment,Unpaid
2,2025-06-30,"3,000,000.0",Monthly Payment,Unpaid
3,2025-07-31,"3,000,000.0",Monthly Payment,Unpaid
4,2025-08-31,"3,000,000.0",Monthly Payment,Unpaid
5,2025-09-30,"3,000,000.0",Monthly Payment,Unpaid
6,2025-10-31,"3,000,000.0",Monthly Payment,Unpaid
7,2025-11-30,"3,000,000.0",Monthly Payment,Unpaid
8,2025-12-31,"3,000,000.0",Monthly Payment,Unpaid
9,2026-01-31,"3,000,000.0",Monthly Payment,Unpaid
10,2026-02-28,"3,000,000.0",Monthly Payment,Unpaid
11,2026-03-31,"3,000,000.0",Monthly Payment,Unpaid
12,2026-04-30,"3,000,000.0",Monthly Payment,Unpaid
12,2026-04-30,"100,000,000.0",Yearly Payment,Unpaid
13,2026-05-31,"3,000,000.0",Monthly Payment,Unpaid
14,2026-06-30,"3,000,000.0",Monthly Payment,Unpaid
15,2026-07-31,"3,000,000.0",Monthly Payment,Unpaid
16,2026-08-31,"3,000,000.0",Monthly Payment,Unpaid
17,2026-09-30,"3,000,000.0",Monthly Payment,Unpaid
18,2026-10-31,"3,000,000.0",Monthly Payment,Unpaid
19,2026-11-30,"3,000,000.0",Monthly Payment,Unpaid
20,2026-12-31,"3,000,000.0",Monthly Payment,Unpaid
21,2027-01-31,"3,000,000.0",Monthly Payment,Unpaid
22,2027-02-28,"3,000,000.0",Monthly Payment,Unpaid
23,2027-03-31,"3,000,000.0",Monthly Payment,Unpaid
24,2027-04-30,"3,000,000.0",Monthly Payment,Unpaid
24,2027-04-30,"100,000,000.0",Yearly Payment,Unpaid
25,2027-05-31,"3,000,000.0",Monthly Payment,Unpaid
26,2027-06-30,"3,000,000.0",Monthly Payment,Unpaid
27,2027-07-31,"3,000,000.0",Monthly Payment,Unpaid
28,2027-08-31,"3,000,000.0",Monthly Payment,Unpaid
29,2027-09-30,"3,000,000.0",Monthly Payment,Unpaid
30,2027-10-31,"3,000,000.0",Monthly Payment,Unpaid
31,2027-11-30,"3,000,000.0",Monthly Payment,Unpaid
32,2027-12-31,"3,000,000.0",Monthly Payment,Unpaid
33,2028-01-31,"3,000,000.0",Monthly Payment,Unpaid
34,2028-02-29,"3,000,000.0",Monthly Payment,Unpaid
35,2028-03-31,"3,000,000.0",Monthly Payment,Unpaid
36,2028-04-30,"3,000,000.0",Monthly Payment,Unpaid
36,2028-04-30,"100,000,000.0",Yearly Payment,Unpaid
37,2028-05-31,"3,000,000.0",Monthly Payment,Unpaid
38,2028-06-30,"3,000,000.0",Monthly Payment,Unpaid
39,2028-07-31,"3,000,000.0",Monthly Payment,Unpaid
40,2028-08-31,"3,000,000.0",Monthly Payment,Unpaid
41,2028-09-30,"3,000,000.0",Monthly Payment,Unpaid
42,2028-10-31,"3,000,000.0",Monthly Payment,Unpaid
43,2028-11-30,"3,000,000.0",Monthly Payment,Unpaid
44,2028-12-31,"3,000,000.0",Monthly Payment,Unpaid
45,2029-01-31,"3,000,000.0",Monthly Payment,Unpaid
46,2029-02-28,"3,000,000.0",Monthly Payment,Unpaid
47,2029-03-31,"3,000,000.0",Monthly Payment,Unpaid
48,2029-04-30,"3,000,000.0",Monthly Payment,Unpaid
48,2029-04-30,"100,000,000.0",Yearly Payment,Unpaid
