Tháng,Ngày,Số tiền,Mô tả,Trạng thái
1,2025-05-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
2,2025-06-30,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
3,2025-07-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
4,2025-08-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
5,2025-09-30,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
6,2025-10-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
7,2025-11-30,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
8,2025-12-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
9,2026-01-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
10,2026-02-28,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
11,2026-03-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
12,2026-04-30,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
12,2026-04-30,"100,000,000.0",Thanh toán hàng năm,Chưa trả
13,2026-05-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
14,2026-06-30,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
15,2026-07-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
16,2026-08-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
17,2026-09-30,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
18,2026-10-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
19,2026-11-30,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
20,2026-12-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
21,2027-01-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
22,2027-02-28,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
23,2027-03-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
24,2027-04-30,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
24,2027-04-30,"100,000,000.0",Thanh toán hàng năm,Chưa trả
25,2027-05-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
26,2027-06-30,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
27,2027-07-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
28,2027-08-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
29,2027-09-30,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
30,2027-10-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
31,2027-11-30,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
32,2027-12-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
33,2028-01-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
34,2028-02-29,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
35,2028-03-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
36,2028-04-30,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
36,2028-04-30,"100,000,000.0",Thanh toán hàng năm,Chưa trả
37,2028-05-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
38,2028-06-30,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
39,2028-07-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
40,2028-08-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
41,2028-09-30,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
42,2028-10-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
43,2028-11-30,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
44,2028-12-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
45,2029-01-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
46,2029-02-28,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
47,2029-03-31,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
48,2029-04-30,"3,000,000.0",Thanh toán hàng tháng,Chưa trả
48,2029-04-30,"100,000,000.0",Thanh toán hàng năm,Chưa trả
